date,white,white_elo,black,black_elo,opening
2021.03.03,Bossker,636,saga77,629,"Bongcloud Attack"
2021.03.03,Jenifer5,1395,morganthebest,1395,"Bongcloud Attack"
2021.03.03,ohdeefish,1049,Romeopatterson,1060,"Bongcloud Attack"
2021.03.03,C71308590YHON,1416,B61196970DIOMAR,1583,"Bongcloud Attack"
2021.03.03,Jenifer5,1389,morganthebest,1403,"Bongcloud Attack"
2021.03.03,Gustalfil,1387,amro2017,1381,"Bongcloud Attack"
2021.03.03,Jenifer5,1402,morganthebest,1387,"Bongcloud Attack"
2021.03.03,Blue_1919,1526,Toppas,1779,"Bongcloud Attack"
2021.03.03,Jenifer5,1402,morganthebest,1388,"Bongcloud Attack"
2021.03.03,Jenifer5,1418,MyguardianAngel1226,1343,"Bongcloud Attack"
2021.03.03,Jenifer5,1399,noooob0,1475,"Bongcloud Attack"
2021.03.03,Jenifer5,1390,noooob0,1513,"Bongcloud Attack"
2021.03.03,Jenifer5,1394,noooob0,1499,"Bongcloud Attack"
2021.03.03,shiraizu,1370,VyacheslavMyshkin,1348,"Bongcloud Attack"
2021.03.03,Jenifer5,1402,delaziz,1396,"Bongcloud Attack"
2021.03.03,Gustalfil,1381,Passah,1353,"Bongcloud Attack"
2021.03.03,Jenifer5,1355,Itzz_Navneet,1428,"Bongcloud Attack"
2021.03.03,Jenifer5,1301,sulthansyf,1312,"Bongcloud Attack"
2021.03.03,Halkeri,1518,josepheze,1515,"Bongcloud Attack"
2021.03.03,JESYL,1824,VK_INDIA,1834,"Bongcloud Attack"
2021.03.03,Jenifer5,1339,Hamzat0209,1625,"Bongcloud Attack"
2021.03.03,umami_clown,1361,HBA07700,1303,"Bongcloud Attack"
2021.03.03,Jenifer5,1338,miha1986,1396,"Bongcloud Attack"
2021.03.03,Jenifer5,1307,samverma,1331,"Bongcloud Attack"
2021.03.03,OorphiCc,1467,text_editor,1423,"Bongcloud Attack"
2021.03.03,KingPieceBro,1500,Ok_Mayte,1500,"Bongcloud Attack"
2021.03.03,Ablqze,975,Architect-Eci,1123,"Bongcloud Attack"
2021.03.03,Loyal1985,1576,mirbat007,1567,"Bongcloud Attack"
2021.03.03,GolubevaToma,752,kamkos,657,"Bongcloud Attack"
2021.03.03,KingPieceBro,1364,RuzSucksAtChess,1231,"Bongcloud Attack"
2021.03.03,JESYL,1827,Darkwizard1201,1309,"Bongcloud Attack"
2021.03.03,KingPieceBro,1372,AnataAisteru,1383,"Bongcloud Attack"
2021.03.03,DrSasha,2228,Poyiaz,2162,"Bongcloud Attack"
2021.03.03,Hausarbeit,1428,nikhilop,1397,"Bongcloud Attack"
2021.03.03,Super_Nova_Cat,1693,terrazephr,1671,"Bongcloud Attack"
2021.03.03,Kenulya,724,SJC_Ayaan,804,"Bongcloud Attack"
2021.03.03,Lbncali,1647,irfan074,1779,"Bongcloud Attack"
2021.03.03,MoneyJ2k,1549,Miknius,1640,"Bongcloud Attack"
2021.03.03,muatasem320,1902,KCfish,1760,"Bongcloud Attack"
2021.03.03,Zolboo0806,1356,Suba0602,1736,"Bongcloud Attack"
2021.03.03,maximo1302,1719,manuelalberti,1041,"Bongcloud Attack"
2021.03.03,serooo456,1511,moorich,1506,"Bongcloud Attack"
2021.03.03,JustBeHappyNow,1226,Liber1975,1208,"Bongcloud Attack"
2021.03.03,Joseph_cartaphilus,1079,ioanis,1084,"Bongcloud Attack"
2021.03.03,bAnDiDo51,1868,Julioabog,1863,"Bongcloud Attack"
2021.03.03,DrSasha,2219,gopox,2216,"Bongcloud Attack"
2021.03.03,DaniVargas11,1402,agustinbotero,1393,"Bongcloud Attack"
2021.03.03,HugoOMasons,1323,InigoSMasons,1487,"Bongcloud Attack"
2021.03.03,bogdan_ed,1225,BAKUGANtr,1285,"Bongcloud Attack"
2021.03.03,DerangedDango,915,Sealeihe,782,"Bongcloud Attack"
2021.03.03,jorgeyaguanahd,1536,SofiaGuevaraHD,1615,"Bongcloud Attack"
2021.03.03,Eoogmea,1310,keksoff2019,1348,"Bongcloud Attack"
2021.03.03,Abdel7ameed,1531,ELIDOREYES,1534,"Bongcloud Attack"
2021.03.03,Super_Nova_Cat,1698,physicist_20,1722,"Bongcloud Attack"
2021.03.03,AugieTenkhoff,1237,hunter7777777,1257,"Bongcloud Attack"
2021.03.03,SOD1489,1158,LuciosGross,1135,"Bongcloud Attack"
2021.03.03,Fredericia,2268,PusheenMeow,2410,"Bongcloud Attack"
2021.03.03,Talexander,1741,checkplex,1887,"Bongcloud Attack"
2021.03.03,hexold,889,Makheda,964,"Bongcloud Attack"
2021.03.03,omer999,1311,prempotabatti,1309,"Bongcloud Attack"
2021.03.03,pipeyuyu6768,1723,Johanncortes,1840,"Bongcloud Attack"
2021.03.03,omer999,1305,Arminius-Rheinland,1280,"Bongcloud Attack"
2021.03.03,Gustalfil,1356,ShaharMS,1400,"Bongcloud Attack"
2021.03.03,dodonko,903,Tu2daddy,1043,"Bongcloud Attack"
2021.03.03,AndroVova,1500,Atmask,1627,"Bongcloud Attack"
2021.03.03,ms131ansony,1077,RaymondLin,975,"Bongcloud Attack"
2021.03.03,AndroVova,1333,Atakan_242,1191,"Bongcloud Attack"
2021.03.03,DoYouKnowWhoIAm,1633,MuruganK,1711,"Bongcloud Attack"
2021.03.03,AndroVova,954,Ceren519,1034,"Bongcloud Attack"
2021.03.03,Dunderklumpen1337,1226,juseant,1138,"Bongcloud Attack"
2021.03.03,DoYouKnowWhoIAm,1628,Tafila,1623,"Bongcloud Attack"
2021.03.03,droozd,1444,BatuhanOguzz,1160,"Bongcloud Attack"
2021.03.03,marcobs13,1500,LossBringer,1481,"Bongcloud Attack"
2021.03.03,AlpGokalp,791,LukeFromIT,831,"Bongcloud Attack"
2021.03.03,JIBEY,958,Spatially_challenged,990,"Bongcloud Attack"
2021.03.03,V_III,1013,Rand0mUsername,935,"Bongcloud Attack"
2021.03.03,muchomor320,1257,king_Richie,1370,"Bongcloud Attack"
2021.03.03,muchomor320,1227,king_Richie,1378,"Bongcloud Attack"
2021.03.03,der_tom_ahja,969,Pear_Koala,1020,"Bongcloud Attack"
2021.03.03,Gustalfil,1330,DM34,1370,"Bongcloud Attack"
2021.03.03,Gustalfil,1325,Lamentor,1287,"Bongcloud Attack"
2021.03.03,Nishidra,918,Angelo943D5,877,"Bongcloud Attack"
2021.03.03,GoldSeriousBank,1064,Luthynho,1021,"Bongcloud Attack"
2021.03.04,Bong_Cloud13,2025,Ubee51,1956,"Bongcloud Attack"
2021.03.04,Mae_S,1148,J563,1139,"Bongcloud Attack"
2021.03.04,COLJ_BRZ,1535,Dewey29,1502,"Bongcloud Attack"
2021.03.04,Gustalfil,1328,nicolasfsr492,1304,"Bongcloud Attack"
2021.03.04,SirJase,1952,drredterror,1959,"Bongcloud Attack"
2021.03.04,Bossker,631,elbichy,750,"Bongcloud Attack"
